school_name,finalgrades,total_students,latitude,longitude,NTA
Bronx Academy for Software Engineering (BASE),9 to 12 - This school is expanding to serve grades 9 to 14 in the 2023-2024 school year.,419,40.855698,-73.882715,Belmont
Eleanor Roosevelt High School,9 to 12,530,40.770187,-73.953608,Lenox Hill-Roosevelt Island
Urban Assembly School for the Performing Arts,9 to 12,387,40.815256,-73.955325,Manhattanville
Benjamin Banneker Academy,9 to 12,810,40.695332,-73.969243,Clinton Hill
Khalil Gibran International Academy,9 to 12,226,40.686499,-73.979649,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Bronxdale High School,9 to 12,459,40.859665,-73.861006,Bronxdale
Channel View School for Research,6 to 12,967,40.586066,-73.822624,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
Chelsea Career and Technical Education High School,9 to 12,451,40.7244,-74.004625,SoHo-TriBeCa-Civic Center-Little Italy
City College Academy of the Arts,6 to 12,608,40.86079,-73.930672,Washington Heights North
International High School for Health Sciences,9 to 12,273,40.741122,-73.874721,Elmhurst
Urban Action Academy,9 to 12,264,40.641474,-73.898254,Canarsie
ACORN Community High School,9 to 12,150,40.678488,-73.962105,Crown Heights North
Liberation Diploma Plus,"School is structured on credit needs, not grade level",245,40.577208,-73.985953,Seagate-Coney Island
Bronx Leadership Academy High School,9 to 12,565,40.843588,-73.903236,Claremont-Bathgate
Long Island City High School,9 to 12,2252,40.765826,-73.9328,Astoria
The Clinton School,6 to 12,726,40.736518,-73.992725,Hudson Yards-Chelsea-Flatiron-Union Square
Bronx High School for Writing and Communication Arts,9 to 12,317,40.875953,-73.86197,Williamsbridge-Olinville
Institute for Health Professions at Cambria Heights,9 to 12,413,40.697819,-73.745728,Cambria Heights
Repertory Company High School for Theatre Arts,9 to 12,237,40.755843,-73.984382,Midtown-Midtown South
Francis Lewis High School,9 to 12,4492,40.740724,-73.79283,Auburndale
Bronx Collaborative High School,9 to 12,587,40.882178,-73.88691,Van Cortlandt Village
The Brooklyn School for Math and Research,9 to 12,277,40.697185,-73.91117,Bushwick North
"H.E.R.O. High (Health, Education, and Research Occupations High School)",9 to 14,530,40.810803,-73.907015,Mott Haven-Port Morris
Teachers Preparatory High School,9 to 12,205,40.665878,-73.911705,Brownsville
Boys and Girls High School,9 to 12,439,40.67944,-73.932407,Crown Heights North
Millennium Art Academy,9 to 12,422,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park
Urban Assembly Institute of Math and Science for Young Women,6 to 12,500,40.694682,-73.988853,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
High School for Arts and Business,9 to 12,784,40.737427,-73.853178,Corona
"High School for Law, Advocacy and Community Justice",9 to 12,429,40.774351,-73.984753,Lincoln Square
Bronx Academy of Health Careers,9 to 12,359,40.875953,-73.86197,Williamsbridge-Olinville
Bronx Envision Academy,9 to 12,418,40.8359,-73.890458,Crotona Park East
Inwood Early College for Health and Information Technologies,9 to 14,414,40.866053,-73.924835,Marble Hill-Inwood
Preparatory Academy for Writers: A College Board School,6 to 12,578,40.668235,-73.756839,Springfield Gardens North
High School for Teaching and the Professions,9 to 12,414,40.870293,-73.898309,Van Cortlandt Village
Essex Street Academy,9 to 12,339,40.717349,-73.989596,Chinatown
Antonia Pantoja Preparatory Academy: A College Board School,6 to 12,446,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park
Hudson High School of Learning Technologies,9 to 12,476,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square
Richmond Hill High School,9 to 12,1576,40.695888,-73.833681,Richmond Hill
Westchester Square Academy,9 to 12,554,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
Wadleigh Secondary School for the Performing & Visual Arts,6 to 12,313,40.802207,-73.954142,Central Harlem South
Brooklyn Lab School,9 to 12,430,40.691146,-73.868328,park-cemetery-etc-Brooklyn
"Archimedes Academy for Math, Science and Technology Applications",6 to 12,659,40.814833,-73.85658,Soundview-Castle Hill-Clason Point-Harding Park
Aviation Career & Technical Education High School,9 to 12,2088,40.743509,-73.929076,Hunters Point-Sunnyside-West Maspeth
Brooklyn Preparatory High School,9 to 12,527,40.715073,-73.954754,North Side-South Side
A. Philip Randolph Campus High School,9 to 12,1503,40.818188,-73.950356,Manhattanville
Brooklyn Frontiers High School,9 to 12,184,40.690145,-73.989132,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
East Side Community School,6 to 12,680,40.729589,-73.982555,East Village
High School for Youth and Community Development at Erasmus,9 to 12,467,40.649787,-73.95855,Erasmus
Frederick Douglass Academy VI High School,9 to 12,346,40.60201,-73.762795,Far Rockaway-Bayswater
"Metropolitan High School, The",9 to 12,356,40.827315,-73.897612,Longwood
Edward R. Murrow High School,9 to 12,3693,40.620525,-73.959285,Midwood
Humanities & Arts Magnet High School,9 to 12,439,40.697819,-73.745728,Cambria Heights
W. H. Maxwell Career and Technical Education High School,9 to 12,376,40.674135,-73.89643,East New York (Pennsylvania Ave)
The Michael J. Petrides School,K to 12,1330,40.608512,-74.102067,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
All City Leadership Secondary School,6 to 12,430,40.69737,-73.913171,Bushwick North
Kingsbridge International High School,9 to 12,491,40.870293,-73.898309,Van Cortlandt Village
N.Y.C. Museum School,9 to 12,449,40.742129,-74.002198,Hudson Yards-Chelsea-Flatiron-Union Square
Millennium High School,9 to 12,681,40.704541,-74.011552,Battery Park City-Lower Manhattan
New Directions Secondary School,6 to 12,228,40.840422,-73.91091,East Concourse-Concourse Village
The High School for Global Citizenship,9 to 12,213,40.670349,-73.961695,Crown Heights South
Manhattan International High School,9 to 12,313,40.765359,-73.960059,Lenox Hill-Roosevelt Island
Bronx Engineering and Technology Academy,9 to 12,377,40.877105,-73.912256,Marble Hill-Inwood
Kurt Hahn Expeditionary Learning School,9 to 12,294,40.648657,-73.922171,Rugby-Remsen Village
Humanities Preparatory Academy,9 to 12,245,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square
The Bronx High School of Science,9 to 12,3016,40.87759,-73.89104,Van Cortlandt Village
The Facing History School,9 to 12,372,40.76525,-73.993105,Clinton
Academy for Language and Technology,9 to 12,324,40.849532,-73.916077,University Heights-Morris Heights
York Early College Academy,6 to 12,658,40.69719,-73.787192,South Jamaica
Fordham Leadership Academy,9 to 12,352,40.860043,-73.888267,Belmont
The Brooklyn School for Social Justice,9 to 12,335,40.697185,-73.91117,Bushwick North
High School of Computers and Technology,9 to 12,542,40.875953,-73.86197,Williamsbridge-Olinville
William Cullen Bryant High School,9 to 12,2344,40.75823,-73.910514,Astoria
NYC iSchool,9 to 12,466,40.7244,-74.004625,SoHo-TriBeCa-Civic Center-Little Italy
Vanguard High School,9 to 12,427,40.765359,-73.960059,Lenox Hill-Roosevelt Island
Academy for Young Writers,6 to 12,551,40.657434,-73.874734,East New York
Performing Arts and Technology High School,9 to 12,409,40.667456,-73.894747,East New York (Pennsylvania Ave)
High School for Dual Language and Asian Studies,9 to 12,402,40.717349,-73.989596,Chinatown
The Urban Assembly Bronx Academy of Letters,6 to 12,587,40.813641,-73.925313,Mott Haven-Port Morris
High School for Innovation in Advertising and Media,9 to 12,240,40.641474,-73.898254,Canarsie
Mott Hall V,6 to 12,672,40.831416,-73.877785,West Farms-Bronx River
Nelson Mandela High School,9 to 12,252,40.67944,-73.932407,Crown Heights North
Institute for Collaborative Education (ICE),6 to 12,486,40.732447,-73.983031,Gramercy
New Dorp High School,9 to 12,3051,40.569393,-74.107737,New Dorp-Midland Beach
The Urban Assembly School for Green Careers,9 to 12,304,40.785803,-73.974614,Upper West Side
Excelsior Preparatory High School,9 to 12,438,40.668235,-73.756839,Springfield Gardens North
Food and Finance High School,9 to 12,375,40.76525,-73.993105,Clinton
Thomas A. Edison Career and Technical Education High School,9 to 12,2196,40.715389,-73.800369,Briarwood-Jamaica Hills
Union Square Academy for Health Sciences,9 to 12,414,40.735494,-73.987659,Gramercy
Life Academy High School for Film and Music,9 to 12,286,40.594291,-73.98577,Gravesend
Morris Academy for Collaborative Studies,9 to 12,409,40.827642,-73.904473,Morrisania-Melrose
Urban Assembly Gateway School for Technology,9 to 12,456,40.76337,-73.9906,Clinton
Newtown High School,9 to 12,1805,40.741122,-73.874721,Elmhurst
"The High School for Enterprise, Business and Technology",9 to 12,831,40.712184,-73.939722,Bushwick South
Marble Hill High School for International Studies,9 to 12,448,40.877105,-73.912256,Marble Hill-Inwood
John Bowne High School,9 to 12,3522,40.738139,-73.824944,Kew Gardens Hills
Young Women's Leadership School (TYWLS),6 to 12,480,40.792741,-73.947428,East Harlem South
Young Women's Leadership School of the Bronx (TYWLS),6 to 12,536,40.848547,-73.908416,Mount Hope
Bronx Health Sciences High School,9 to 12,295,40.874091,-73.833904,Co-op City
Newcomers High School,9 to 12,828,40.751356,-73.937445,Queensbridge-Ravenswood-Long Island City
Knowledge and Power Preparatory Academy International High School (KAPPA),9 to 12,464,40.860043,-73.888267,Belmont
University Heights Secondary School,9 to 12,519,40.81825,-73.91103,Melrose South-Mott Haven North
Brooklyn Community Arts & Media High School (BCAM),9 to 12,421,40.692642,-73.958794,Clinton Hill
Brooklyn Institute for Liberal Arts (BILA),9 to 12,415,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate
Staten Island Technical High School,9 to 12,1331,40.567873,-74.115373,New Dorp-Midland Beach
Frederick Douglass Academy II Secondary School,6 to 12,362,40.802207,-73.954142,Central Harlem South
Hillside Arts & Letters Academy,9 to 12,447,40.713218,-73.797237,Briarwood-Jamaica Hills
"City Polytechnic High School of Engineering, Architecture, and Technology",9 to 14,426,40.694926,-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Queens High School for Information, Research, and Technology",9 to 12,466,40.60201,-73.762795,Far Rockaway-Bayswater
